date,FieldID,class,source,temperature_2m_max,temperature_2m_mean,temperature_2m_min,relative_humidity_2m_max,relative_humidity_2m_mean,relative_humidity_2m_min,wind_speed_10m_max,wind_speed_10m_mean,precipitation_sum,days_before_survey,cwb_station_id,cwb_station_name,station_distance_km,survey_date,window_start,window_end,missing_ratio_overall,interp_ratio_overall,interp_ratio_temperature_2m_max,interp_ratio_temperature_2m_mean,interp_ratio_temperature_2m_min,interp_ratio_relative_humidity_2m_max,interp_ratio_relative_humidity_2m_mean,interp_ratio_relative_humidity_2m_min,interp_ratio_wind_speed_10m_max,interp_ratio_wind_speed_10m_mean,interp_ratio_precipitation_sum
2025-07-18,高雄場_高雄美濃_nan,1,detailed,29.6,26.5,23.6,98,90,78,3.0000000000000004,1.2777777777777777,33.4,21,ERA5_grid,ERA5_seamless,0.0,2025-08-08,2025-07-18,2025-08-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-07-19,高雄場_高雄美濃_nan,1,detailed,28.7,26.6,25.0,96,90,80,8.333333333333334,5.25,42.3,20,ERA5_grid,ERA5_seamless,0.0,2025-08-08,2025-07-18,2025-08-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-07-20,高雄場_高雄美濃_nan,1,detailed,26.8,25.9,25.1,93,91,89,6.944444444444445,5.472222222222222,33.6,19,ERA5_grid,ERA5_seamless,0.0,2025-08-08,2025-07-18,2025-08-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-07-21,高雄場_高雄美濃_nan,1,detailed,26.3,25.2,24.3,94,93,88,6.333333333333334,4.888888888888889,73.3,18,ERA5_grid,ERA5_seamless,0.0,2025-08-08,2025-07-18,2025-08-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-07-22,高雄場_高雄美濃_nan,1,detailed,28.3,25.8,23.7,94,88,80,2.7777777777777777,1.3333333333333333,6.3,17,ERA5_grid,ERA5_seamless,0.0,2025-08-08,2025-07-18,2025-08-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-07-23,高雄場_高雄美濃_nan,1,detailed,30.0,26.6,22.6,99,86,72,2.5555555555555554,1.4722222222222223,1.0,16,ERA5_grid,ERA5_seamless,0.0,2025-08-08,2025-07-18,2025-08-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-07-24,高雄場_高雄美濃_nan,1,detailed,29.4,26.3,22.6,97,87,77,3.25,1.8333333333333333,15.2,15,ERA5_grid,ERA5_seamless,0.0,2025-08-08,2025-07-18,2025-08-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-07-25,高雄場_高雄美濃_nan,1,detailed,28.7,26.4,24.1,96,88,76,3.0833333333333335,1.75,10.5,14,ERA5_grid,ERA5_seamless,0.0,2025-08-08,2025-07-18,2025-08-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-07-26,高雄場_高雄美濃_nan,1,detailed,28.0,26.1,24.5,99,89,79,4.333333333333333,2.5833333333333335,8.2,13,ERA5_grid,ERA5_seamless,0.0,2025-08-08,2025-07-18,2025-08-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-07-27,高雄場_高雄美濃_nan,1,detailed,29.4,26.3,24.3,98,88,75,4.277777777777778,2.5833333333333335,15.9,12,ERA5_grid,ERA5_seamless,0.0,2025-08-08,2025-07-18,2025-08-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-07-28,高雄場_高雄美濃_nan,1,detailed,26.1,24.8,23.5,97,92,85,3.916666666666667,2.8611111111111116,20.9,11,ERA5_grid,ERA5_seamless,0.0,2025-08-08,2025-07-18,2025-08-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-07-29,高雄場_高雄美濃_nan,1,detailed,26.4,24.7,23.7,99,97,91,5.638888888888889,4.0,77.9,10,ERA5_grid,ERA5_seamless,0.0,2025-08-08,2025-07-18,2025-08-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-07-30,高雄場_高雄美濃_nan,1,detailed,26.7,25.1,24.3,99,97,89,6.055555555555556,4.472222222222223,71.3,9,ERA5_grid,ERA5_seamless,0.0,2025-08-08,2025-07-18,2025-08-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-07-31,高雄場_高雄美濃_nan,1,detailed,26.7,25.3,24.5,99,95,90,6.000000000000001,3.5833333333333335,45.7,8,ERA5_grid,ERA5_seamless,0.0,2025-08-08,2025-07-18,2025-08-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-08-01,高雄場_高雄美濃_nan,1,detailed,26.1,25.0,24.0,97,95,92,5.305555555555556,2.5555555555555554,35.6,7,ERA5_grid,ERA5_seamless,0.0,2025-08-08,2025-07-18,2025-08-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-08-02,高雄場_高雄美濃_nan,1,detailed,26.9,25.0,23.9,96,94,89,2.9722222222222223,1.4166666666666667,41.8,6,ERA5_grid,ERA5_seamless,0.0,2025-08-08,2025-07-18,2025-08-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-08-03,高雄場_高雄美濃_nan,1,detailed,26.1,24.8,23.8,96,94,90,4.194444444444445,2.1666666666666665,43.1,5,ERA5_grid,ERA5_seamless,0.0,2025-08-08,2025-07-18,2025-08-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-08-04,高雄場_高雄美濃_nan,1,detailed,26.3,24.4,23.4,96,95,90,3.055555555555556,1.4444444444444446,32.3,4,ERA5_grid,ERA5_seamless,0.0,2025-08-08,2025-07-18,2025-08-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-08-05,高雄場_高雄美濃_nan,1,detailed,28.3,25.6,23.3,96,89,79,4.527777777777779,2.1666666666666665,5.6,3,ERA5_grid,ERA5_seamless,0.0,2025-08-08,2025-07-18,2025-08-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
