epoch,train_loss,val_loss,train_seen_n,train_total_n,train_seed,retry
1,0.6957488879561424,0.6747033437093098,256,264,3989,0
2,0.6580849103629589,0.6451801419258117,256,264,3989,0
3,0.6248555108904839,0.5805304725964864,256,264,3989,0
4,0.6168109346181154,0.5231911222139994,256,264,3989,0
5,0.5968117527663708,0.5153583447138469,256,264,3989,0
6,0.5947108175605536,0.5145315249760946,256,264,3989,0
7,0.5691489428281784,0.5185761491457621,256,264,3989,0
8,0.5626318193972111,0.49002281030019124,256,264,3989,0
9,0.5215485896915197,0.4967512289683024,256,264,3989,0
10,0.515114177018404,0.5394510308901469,256,264,3989,0
11,0.5123555436730385,0.5134649316469828,256,264,3989,0
12,0.5199923776090145,0.5116921027501424,256,264,3989,0
13,0.4908052310347557,0.5173840800921122,256,264,3989,0
14,0.46305385790765285,0.5039759914080302,256,264,3989,0
15,0.4707985445857048,0.5533973495165507,256,264,3989,0
16,0.4679911006242037,0.5630984981854756,256,264,3989,0
17,0.4312705583870411,0.5757210850715637,256,264,3989,0
18,0.42484903149306774,0.5415494521458943,256,264,3989,0
19,0.4112142492085695,0.5755342682202657,256,264,3989,0
20,0.42508876137435436,0.6453582485516866,256,264,3989,0
21,0.39037876296788454,0.6288444240887959,256,264,3989,0
22,0.4125865809619427,0.6352345108985901,256,264,3989,0
23,0.3846025802195072,0.7077251156171163,256,264,3989,0
24,0.3891574749723077,0.6911003152529399,256,264,3989,0
25,0.3670836519449949,0.678255307674408,256,264,3989,0
26,0.37213496025651693,0.5800025582313537,256,264,3989,0
27,0.35909055918455124,0.6778997421264649,256,264,3989,0
28,0.42709956131875515,0.7080145041147868,256,264,3989,0
29,0.39146921690553427,0.6547120650609334,256,264,3989,0
30,0.4017663560807705,0.7203581213951111,256,264,3989,0
31,0.4179731095209718,0.6650882760683695,256,264,3989,0
32,0.37195554841309786,0.7491467873255412,256,264,3989,0
33,0.3327780617401004,0.8405269066492717,256,264,3989,0
34,0.3136152857914567,0.7236124912897746,256,264,3989,0
35,0.36299366876482964,0.7363666137059529,256,264,3989,0
36,0.3114582793787122,0.7558595975240071,256,264,3989,0
37,0.32385229133069515,0.8558798710505168,256,264,3989,0
38,0.29663702566176653,0.7696225007375082,256,264,3989,0
39,0.2989935069344938,0.8087527195612589,256,264,3989,0
40,0.3305420707911253,0.8493903795878093,256,264,3989,0
